titres,synopsis,resume
Memories,"Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expected.","Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expected."
Zootopie,"From the largest elephant to the smallest shrew, the city of Zootopia is a mammal metropolis where various animals live and thrive. When Judy Hopps becomes the first rabbit to join the police force, she quickly learns how tough it is to enforce the law. Determined to prove herself, Judy jumps at the opportunity to solve a mysterious case. Unfortunately, that means working with Nick Wilde, a wily fox who makes her job even harder.Written byJwelch5742","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Manam,Radha (Naga Chaitanya) and Krishna (Samantha) are a married couple with a kid Bittu in early 1980's. They die in an accident. Bittu (Nagarjuna) grows up and happens to see reincarnation of his father and his mother as youngsters. The rest of the story is all about how Bittu tries to unite these two youngsters. And there is another twist in the tale for which you must watch the movie on the big screen!Written byJeevi,"Through reincarnation, family members are able to cross generations and meddle in each others' lives."
Mumbai Police,"ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate the murder again hoping that he remembers something.","ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate the murder again hoping that he remembers something."
Ugly,"The film portrays the kidnapping of a little girl of 10, who is out with her father for the day. Her parents are divorced and her stepfather (a cop) steps in for the investigation. The suicidal mother has an ax to grind with both her ex-husband and her current husband. As the investigation proceeds, the characters are placed in sordid scenarios that reveal their unsavory sides; the mind games between the both the fathers in particular lend the procedural its most gripping drama as everyone else is getting greedy and ugly not caring about the kidnapped girl.Written byDeepak Futela",The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.
La légende de Baahubali: 1ère partie,"When Sanga and her husband, part of a tribe living around the province of Mahismathi, save a drowning infant, little do they know the background of the infant or what the future holds for him. The kid grows up to as Shivudu, a free-spirit wanting to explore the mountains and in the process learns of his roots and then realizes the whole purpose of his life and ends up confronting the mighty Bhallala Deva!Written byPipingHotViews","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
Pizza,"Michael (Vijay Sethupathi) lives with girlfriend Anu (Ramya Nambeeshan) and works as a deliveryman at a pizzeria. One day, Anu announces that she is pregnant and he is faced with a dilemma. They decide to marry and save up for a big bash later. But during a routine delivery one day, the pizza crumbles...Written byAnonymous",A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.
Le conte de la princesse Kaguya,"An old man makes a living by selling bamboo. One day, he finds a princess in a bamboo. The princess is only the size of a finger. Her name is Kaguya. When Kaguya grows up, 5 men from prestigious families propose to her. Kaguya asks the men to find memorable marriage gifts for her, but the 5 men are unable to find what Kaguya wants. Then, the Emperor of Japan proposes to her.Written byAnonymous","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
Wonder,"Based on the New York Times bestseller, WONDER tells the incredibly inspiring and heartwarming story of August Pullman. Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to discover their compassion and acceptance, Auggie's extraordinary journey will unite them all and prove you can't blend in when you were born to stand out.Written byLionsgate","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
Gully Boy,"""Gully Boy"" is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai, India. The son of a driver, his parents worked hard to get him educated so that he could have a white collar job. Meanwhile, Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world, is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population.",A coming-of-age story based on the lives of street rappers in Mumbai.
Special Chabbis,"Based on real life incidents that occurred in India in 1987-88, the storyline revolves around a group of con artists who pulled off many clever robberies during 1980s, and robbed famous businessmen and politicians by pretending to be the CBI or Income tax officers and conducting raids. On the pretext of conducting raids they would take away all the black money hoarded by them.Written bySufiyan Khan and London Mapper",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
States of Grace,"At a foster-care facility for at-risk teenagers, Grace is a young counselor trying to do her best for kids who often have been pulled from the worst kinds of home situations. Even then, life is not easy as Grace and her colleagues care for kids who are too often profoundly scarred, even as they try to have lives of their own. Now, things are coming to a head as Grace readies for marriage even as some her charges are coming to major turning points in their lives. To cope, Grace will have to make difficult perceptions and decisions that could put her career, and more importantly her charges, at dire risk.Written byKenneth Chisholm (kchishol@rogers.com)",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
The Raid 2,"He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a fight that left the bodies of police and gangsters alike piled in the halls - rookie Jakarta cop Rama thought it was done and he could resume a normal life. He couldn't have been more wrong. Formidable though they may have been, Rama's opponents in that fateful building were nothing more than small fish swimming in a pond much larger than he ever dreamed possible. And his triumph over the small fry has attracted the attention of the predators farther up the food chain. His family at risk, Rama has only one choice to protect his infant son and wife: He must go undercover to enter the criminal underworld himself and climb through the hierarchy of competing forces until it leads him to the corrupt politicians and police pulling the strings at the top of the heap. And so Rama begins a new odyssey of violence, a journey that will force him to set aside his own life and history and take on ...Written bySony Pictures Classics","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
Assal Eswed,"Masry Sayed El Araby (Ahmed Helmy) left Egypt and immigrated to America with his parents when he was ten years old, and twenty years later due to his desire for stability after the death of his parents.He faces many ironies resulting from different times and cultures where he holds an American passport, which makes everyone deals well with him till he exposed to an accident it loses his passport which lead to convert treat of everyone with him to contrast so he decides to rebel against this situation.Written byWaleed El Kady","A 30 years old Egyptian goes back to Egypt after living in America for 20 years, where he has a hard time coping with the difference, Specially after he loses his identity and all his money and becomes stuck in Egypt."
Thuppakki - Le Pistolet,"Jagdish (Vijay), an army captain, is back in Mumbai for a holiday to be with his parents and two sisters. They want him to get married and finds a bride Nisha (Kajal Aggarwal) for him. After the usual bickerings the couple fall in love. Meanwhile Jagadish an intelligence officer in the military, has a mission to crack down on terrorist sleeper cells in Mumbai. How Jagadish moving around as an ordinary person using his brain and brawn in the correct measure, tracks down the terrorist in his own unique way forms the rest of this escapist entertainer.Written bySurya Prakash",An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
Dedemin Insanlari,"Grandpapa and his family were torn from their land, forced to migrate from Crete during the population exchange when he was just seven years old. Grands greatest desire is to see the land of his birth before he dies. It is this longing that makes him frequently drop bottles containing letters into the Aegean. FILM describes the spectacular transformation of a family and their country through the eyes of a ten-year old child and his grandfather living in a small town. This story about the people in the crowded and warm Aegean, you will once again experience the population exchange, what it means to be the other, the ability to belong anywhere no matter where you go, insurrections, numerous minorities, and both side.Written byAnonymous","Grandpapa and his family were torn from their land, forced to migrate from Crete during the population exchange when he was just seven years old. Grands greatest desire is to see the land ...                See full summary »"
Imitation Game,"It is based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.Written byStudio Canal","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
Les Gardiens de la Galaxie,"After stealing a mysterious orb in the far reaches of outer space, Peter Quill from Earth is now the main target of a manhunt led by the villain known as Ronan the Accuser. To help fight Ronan and his team and save the galaxy from his power, Quill creates a team of space heroes known as the ""Guardians of the Galaxy"" to save the galaxy.Written byJames Hake",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
Blade Runner 2049,"Thirty years after the events of Blade Runner (1982), a new Blade Runner, L.A.P.D. Officer ""K"" (Ryan Gosling), unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former L.A.P.D. Blade Runner, who has been missing for thirty years.Written byWarner Bros. Pictures","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Her,"Theodore is a lonely man in the final stages of his divorce. When he's not working as a letter writer, his down time is spent playing video games and occasionally hanging out with friends. He decides to purchase the new OS1, which is advertised as the world's first artificially intelligent operating system, ""It's not just an operating system, it's a consciousness,"" the ad states. Theodore quickly finds himself drawn in with Samantha, the voice behind his OS1. As they start spending time together they grow closer and closer and eventually find themselves in love. Having fallen in love with his OS, Theodore finds himself dealing with feelings of both great joy and doubt. As an OS, Samantha has powerful intelligence that she uses to help Theodore in ways others hadn't, but how does she help him deal with his inner conflict of being in love with an OS?Written byBob Philpot","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
The Revenant,"While exploring uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him.Written byJwelch5742",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
Vinnaithaandi Varuvaayaa,"At a Keralite Christian wedding, a young man in the audience watches mournfully as the woman of his dreams walks down the aisle. Flashback, a young wannabe filmmaker Kartik (Simbu) shares a house with a Keralite family, whose daughter Jessie (Trisha) he instantly falls in love with. After a few minor spurns, Kartik chases Jessie to her hometown and gradually begin a relationship. Trouble brews when her family finds out, leading to fist-cuffs, and Jessie's father fixing her marriage with a boy within the community. The couple continue to meet, but as his filmmaking career starts to take off, there is new friction in their relationship and a drastic step from Jessie.Written byJoyojeet Pal",An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.
Troupe d'élite - L'ennemi intérieur,"After a bloody invasion of the BOPE in the High-Security Penitentiary Bangu 1 in Rio de Janeiro to control a rebellion of interns, the Lieutenant-Colonel Roberto Nascimento and the second in command Captain André Matias are accused by the Human Right Aids member Diogo Fraga of execution of prisoners. Matias is transferred to the corrupted Military Police and Nascimento is exonerated from the BOPE by the Governor. However, due to the increasing popularity of Nascimento, the Governor invites him to team-up with the intelligence area of the Secretary of Security. Along the years, Fraga, who is married with Nascimento's former wife, is elected State Representative and Nascimento's son Rafael has issues with his biological father. Meanwhile Nascimento and the BOPE expel the drug dealers from several slums but another enemy arises: the militia led by Major Rocha and supported by the Governor, the Secretary of Security and politicians interested in votes. Nascimento is manipulated to help ...Written byClaudio Carvalho, Rio de Janeiro, Brazil","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
Le discours d'un roi,"Britain's Prince Albert (Colin Firth) must ascend the throne as King George VI, but he has a speech impediment. Knowing that the country needs her husband to be able to communicate effectively, Elizabeth (Helena Bonham Carter) hires Lionel Logue (Geoffrey Rush), an Australian actor and speech therapist, to help him overcome his stammer. An extraordinary friendship develops between the two men, as Logue uses unconventional means to teach the monarch how to speak with confidence.Written byJwelch5742","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
La couleur des sentiments,"Set in Mississippi during the 1960s, Skeeter (Stone) is a southern society girl who returns from college determined to become a writer, but turns her friends' lives -- and a Mississippi town -- upside down when she decides to interview the black women who have spent their lives taking care of prominent southern families. Aibileen (Davis), Skeeter's best friend's housekeeper, is the first to open up -- to the dismay of her friends in the tight-knit black community. Despite Skeeter's life-long friendships hanging in the balance, she and Aibileen continue their collaboration and soon more women come forward to tell their stories -- and as it turns out, they have a lot to say. Along the way, unlikely friendships are forged and a new sisterhood emerges, but not before everyone in town has a thing or two to say themselves when they become unwittingly -- and unwillingly -- caught up in the changing times.Written byWalt Disney Pictures","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
Deadpool,"This is the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.Written by20th Century Fox","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
Unnaipol Oruvan,The Police Commissioner gets an anonymous call. The caller demands that he release militants in exchange for information about the many bombs planted across Chennai city. The caller is obviously serious as the police find a bomb planted very close the their headquarters. The Police Commissioner is torn between releasing militants who had been responsible for killing innocent people and stopping bomb blasts around the city. What will he do? Or does he have a choice at all?Written byHappy_Evil_Dude,A retiring police officer remembers a thrilling case of his life which is not recorded in any case files.
À propos d'Elly,A group of former classmates of an University with their family plans to go for a picnic to Caspian sea shore where Sepideh the organizer of the trip invites Elly who is the Kindergarten teacher of her child to meet her other friend Ahmad returning from Germany. Elly hesitates to accept the invitation but later says ok. In the picnic a boy and Elly goes missing.Written byramu-98420,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
Dev.D,"Dev who, after spurning Paro's love due to a misunderstanding, turns to drugs and vodka for solace. Paro moves on but Dev still is in remorse. He meets Chanda, a prostitute with problems of her own. Dev likes her but his penchant for self-destruction prevents him and Chanda from truly getting together. He also meets sleazy people like Chunni, Chanda's pimp who drags Dev further into self-destruction to further his own needs.Written byAnonymous","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
Aasef ala el-iz'ag,"Hassan, a brilliant aviation engineer struggles with loneliness and depression while trying to design his exceptional project.","Hassan, a brilliant aviation engineer struggles with loneliness and depression while trying to design his exceptional project."
Devrim Arabalari,"It is just after the military take over of the administration in 1960. The new head of state believes Turkey can only be independent if it is economically strong. After sounding out the weak private sector and most of the senior bureaucrats, it is clear that nobody has a similar view. So, he dares the government sector to see if anyone can design and produce a 100% original car within 4 months... Well, one engineer shares this vision and a small and dedicated team start working in a locomotive factory. Time is short and resources are limited. Many believe this can not be achieved. This is the story of a team of idealist engineers working on this vision.Written byAlexMax","In the years of military coup, Turkey was unable to produce its own cars. But Pasha believed that Turkish people can produce their own cars so he ordered 2 cars. Gunduz and engineers with him must produce 2 cars in only 130 days!"
La Lapidation de Soraya M.,"A drama set in Iran and centered on a man, Sahebjam, whose car breaks down in a remote village and enters into a conversation with Zahra, who relays to him the story about her niece, Soraya, whose marriage had a tragic ending.Written byAnonymous",A desperate woman asks for a meeting with a journalist to disclose the cruel and inhumane punishment of her niece.
Kôkaku kidôtai 2.0,A hacker known as the Puppet Master is hunted by a female cyborg cop and her partner. This film is a revised version of Ghost in the Shell (1995).,A hacker known as the Puppet Master is hunted by a female cyborg cop and her partner. This film is a revised version of Ghost in the Shell (1995).
Ip man,"In 1935 in Foshan, south China, there are martial arts schools on every street corner. Ip Man is the undisputed martial arts champion, yet he has not devoted himself to teaching. Despite this, it seems that all the kung fu masters of the city are eager to fight him to improve their reputation.Written byRiccardo Amadori","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, suffers from Asperger's syndrome, a form of high-functioning autism that complicates socialization. The adult Rizwan marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who mistake his disability for suspicious behavior. Following his arrest, he meets Radha, a therapist who helps him deal with his situation and his affliction. Rizwan then begins a journey to meet US President Bush to clear his name.Written byAuntie A",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
Shams Al-Ma'arif,"In 2010, high school senior Husam, his best friend Maan, their one-time foe Ibrahim, and their teacher Orabi set out to produce a no-budget horror movie.","In 2010, high school senior Husam, his best friend Maan, their one-time foe Ibrahim, and their teacher Orabi set out to produce a no-budget horror movie."
The World Is Big,"What's in a game? For a young man, who has left his country behind, lost his memory and forgotten his love, the game might be the only way out. This is a story about a Bulgarian boy who grows up to be a German man. After a car accident Alex can't remember even what his name is. In an attempt to cure him from amnesia, his grandfather Bai Dan comes over to Germany and organizes a spiritual journey for his grandson back into his past, to the country where he came from. In changing places, time and transport, crossing half Europe, they play backgammon, the simplest, and yet the most complex of all games. That game leads Alex to the realizations of who he is, and that game is symbolic to the story. Destiny is the dice we hold in our own hands and life is a game on the edge between chance and skill.Written byGeorgi Djulgerov <georgidjul1943@gmail.com>","The story of Alex, who, with the help of his charismatic grandfather, Bai Dan, embarks on a journey in search of his real self."
Nefes: Vatan Sagolsun,"A small group of Turkish soldiers in a remote patrol station in eastern Turkey face their near-certain death, during a time the conflict between Turkish Army and separatist militant organization PKK reached its peak point.Written byumuts",Story of 40-man Turkish task force who must defend a relay station.
Ayyappanum Koshiyum,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.","The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive."
Anjaam Pathiraa,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?","The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?"
Slumdog Millionaire,"The story of Jamal Malik, an 18 year-old orphan from the slums of Mumbai, who is about to experience the biggest day of his life. With the whole nation watching, he is just one question away from winning a staggering 20 million rupees on India's Kaun Banega Crorepati? (2000) (Who Wants To Be A Millionaire?) But when the show breaks for the night, police arrest him on suspicion of cheating; how could a street kid know so much? Desperate to prove his innocence, Jamal tells the story of his life in the slum where he and his brother grew up, of their adventures together on the road, of vicious encounters with local gangs, and of Latika, the girl he loved and lost. Each chapter of his story reveals the key to the answer to one of the game show's questions. Each chapter of Jamal's increasingly layered story reveals where he learned the answers to the show's seemingly impossible quizzes. But one question remains a mystery: what is this young man with no apparent desire for riches really ...Written byFox Searchlight Pictures","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
Black Swan,"Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.Written byFox Searchlight Pictures","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
Troupe d'élite,"In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operation Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged. Captain Nascimento is trying to find a man to replace him because his wife is pregnant and he intends to quit the command and become a trainer of the new recruits. Meanwhile, the two idealistic friends Neto and Matias join the Military Police force expecting to become honest policemen and fight the criminals. However, they see only corruption, lack of competence and stupid bureaucracy in the Military Police, and after a serious incident in the Morro da Babilônia, they decide to join the BOPE. The lives of Capitain Nascimento, Neto and Matias are entwined along the next months, first in the tough training period and then in action against drug dealers. Nascimento believes that Neto could be his substitute, but his impulsive attitudes jeopardizes ...Written byClaudio Carvalho, Rio de Janeiro, Brazil","In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
Evangelion: 2.0 You Can ,"Under constant attack by Angels, NERV introduces two new pilots: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Parallel to the incursion, Gendo Ikari and SEELE proceed the secret project that involves both Rei and Shinji.Written byAnime News Network","Under constant attack by Angels, NERV introduces two new pilots: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Parallel to the incursion, Gendo Ikari and ...                See full summary »"
Avengers,"Loki, the adopted brother of Thor, teams-up with the Chitauri Army and uses the Tesseract's power to travel from Asgard to Midgard to plot the invasion of Earth and become a king. The director of the agency S.H.I.E.L.D., Nick Fury, sets in motion project Avengers, joining Tony Stark a.k.a. the Iron Man; Steve Rogers, a.k.a. Captain America; Bruce Banner, a.k.a. The Hulk; Thor; Natasha Romanoff, a.k.a. Black Widow; and Clint Barton, a.k.a. Hawkeye, to save the world from the powerful Loki and the alien invasion.Written byClaudio Carvalho, Rio de Janeiro, Brazil",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Persepolis,"In 1970s Iran, Marjane 'Marji' Satrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own. With Marji dangerously refusing to remain silent at this injustice, her parents send her abroad to Vienna to study for a better life. However, this change proves an equally difficult trial with the young woman finding herself in a different culture loaded with abrasive characters and profound disappointments that deeply trouble her. Even when she returns home, Marji finds that both she and homeland have changed too much and the young woman and her loving family must decide where she truly belongs.Written byKenneth Chisholm (kchishol@rogers.com)",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
Dallas Buyers Club,"Dallas 1985. Electrician and sometimes rodeo bull rider Ron Woodroof lives hard, which includes heavy smoking, drinking, drug use (primarily cocaine) and casual sex. He is racist and homophobic. While in the hospital on a work related injury, the doctors discover and inform him that he is HIV+, and that he will most-likely die within thirty days. Ron is initially in angry denial that he would have a disease that only ""faggots"" have, but upon quick reflection comes to the realization that the diagnosis is probably true. He begins to read whatever research is available about the disease, which at this time seems to be most effectively treated by the drug AZT. AZT, however, is only in the clinical trials stage within the US. Incredulous that he, as a dying man, cannot pay for any drug which may save or at least prolong his life, he goes searching for it by whatever means possible. It eventually leads him to Mexico and a ""Dr."" Vass, an American physician whose license was revoked in the ...Written byHuggo","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
Sekerpare,"In the harsh times of the small time crime in Istanbul, a conscientious police officer Cumali is recognized by the police chief Ziver Bey who sees Cumali as a threat and matches him with Sekerpare, a famous harlot.","In the harsh times of the small time crime in Istanbul, a conscientious police officer Cumali is recognized by the police chief Ziver Bey who sees Cumali as a threat and matches him with Sekerpare, a famous harlot."
Lage Raho Munna Bhai,"A hilarious underworld gangster known as Munna Bhai falls comically in love with a radio host by the name of Jahnvi, who runs an elders' home, which is taken over by an unscrupulous builder, who gets the residents kicked out ironically with the help of Munna's sidekick, Circuit, while Munna is busy romancing Jahnvi elsewhere. Munna, who is now masquerading as a Professor specializing in the life of Mahatma Gandhi, must now battle his very own forces and the builder - but he has one ally on his side - none other than the great man - Mahatma Gandhi himself. Only trouble is that Munna may have problems convincing everyone about this presence - as he is apparently is the only one who can see and hear him.Written bySumitra (corrected by Carrie)",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
À la recherche du bonheur,"Based on a true story about a man named Christopher Gardner. Gardner has invested heavily in a device known as a ""bone density scanner"". He feels like he has it made selling these devices. However, they do not sell well as they are marginally better than x-ray at a much higher price. As Gardner works to make ends meet, his wife leaves him and he loses his apartment. Forced to live out in the streets with his son, Gardner continues to sell bone density scanners while concurrently taking on an unpaid internship as a stockbroker, with slim chances for advancement to a paid position. Before he can receive pay, he needs to outshine the competition through 6 months of training, and to sell his devices to stay afloat.Written byJohn Wiggins, Alf Fonz",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
Blood Diamond,"A story following Archer, a man tortured by his roots. With a strong survival instinct, he has made himself a key player in the business of conflict diamonds. Political unrest is rampant in Sierra Leone as people fight tooth for tooth. Upon meeting Solomon, and the beautiful Maddy, Archer's life changes forever as he is given a chance to make peace with the war around him.Written byMiist","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
La vengeance dans la peau,"Bourne is once again brought out of hiding, this time inadvertently by London-based reporter Simon Ross who is trying to unveil Operation Blackbriar--an upgrade to Project Treadstone--in a series of newspaper columns. Bourne sets up a meeting with Ross and realizes instantly they're being scanned. Information from the reporter stirs a new set of memories, and Bourne must finally, ultimately, uncover his dark past whilst dodging The Company's best efforts in trying to eradicate him.Written byCorey Hatch",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
Locataires,"Tae-suk (Hee Jae) is a lonely drifter who spends his nights in one empty vacation home after another. However, Tae-suk is not your usual squatter, as the courteous young man always makes sure to show his absent -- and unknowing -- hosts his gratitude by doing small household tasks or making simple improvements before moving on. One day, Tae-suk mistakes a quiet home for an empty one and stumbles across an abused housewife (Seung-yeon Lee) in urgent need of his intervention.Written byRotten T.",A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
Ghilli,"Muthu Pandi, a village strongman, decides to marry his niece Dhanalakshmi, and begins his quest by eliminating everyone who opposes their union - starting with both her brothers. In desperation, Dhanalakshmi decides to escape from the village, and in the process is unwittingly assisted by a university Kabaddi player Velu.Written byJoyojeet Pal","Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will."
Sin City,"Four tales of crime adapted from Frank Miller's popular comics, focusing around a muscular brute who's looking for the person responsible for the death of his beloved Goldie (Jaime King), a man fed up with Sin City's corrupt law enforcement who takes the law into his own hands after a horrible mistake, a cop who risks his life to protect a girl from a deformed pedophile and a hitman looking to make a little cash.Written byTom Benton","An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
Le scaphandre et le papillon,"Forty-three year old Elle magazine editor Jean-Dominique Bauby - Jean-Do to his friends - awakens not knowing where he is. He is in a Berck-sur-Mer hospital, where he has been for the past several weeks in a coma after suffering a massive stroke. Although his cognitive facilities are in tact, he quickly learns that he has what is called locked-in syndrome which has resulted in him being almost completely paralyzed, including not being able to speak. One of his few functioning muscles is his left eye. His physical situation and hospitalization uncomfortably bring together the many people in his life, including: Céline Desmoulins, his ex-lover and mother of his children; Inès, his current lover; and his aged father who he calls Papinou. Among his compassionate recuperative team are his physical therapist Marie, and his speech therapist Henriette. Henriette eventually teaches him to communicate using a system where he spells out words: she reads out the letters of the alphabet in ...Written byHuggo",The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
